"","firm_name","wikipedia"
"1985","SYNAPTICS INC","https://en.wikipedia.org/wiki/Synaptics"
"1986","COMMUNITY BANK SYSTEM","https://en.wikipedia.org/wiki/Community_Bank,_N.A."
"1987","KENSEY NASH",
"1988","ADESA INC",
"1989","LIFE TECHNOLOGIES","https://en.wikipedia.org/wiki/Life_Technologies_(Thermo_Fisher_Scientific)"
"1990","PDC ENERGY",
"1991","SONIC SOLUTIONS","https://en.wikipedia.org/wiki/Sonic_Solutions"
"1992","GENTIVA HEALTH SERVICES","https://en.wikipedia.org/wiki/Gentiva_Health_Services"
"1993","AMPHENOL CORP","https://en.wikipedia.org/wiki/Amphenol"
"1994","DDR CORP",
"1995","HOPE BANCORP","https://en.wikipedia.org/wiki/Bank_of_Hope"
"1996","AMEDISYS INC","https://en.wikipedia.org/wiki/Amedisys_Home_Health_and_Hospice_Care"
"1997","VCA INC","https://en.wikipedia.org/wiki/VCA_Animal_Hospitals"
"1998","CIT GROUP","https://en.wikipedia.org/wiki/CIT_Group"
"1999","LABORATORY CORP OF AMERICA HOLDINGS","https://en.wikipedia.org/wiki/LabCorp"
"2000","PARKWAY PROPERTIES","https://en.wikipedia.org/wiki/Parkway_Properties"
"2001","CRT PROPERTIES",
"2002","GAMESTOP CORP","https://en.wikipedia.org/wiki/GameStop"
"2003","PHARMANET DEVELOPMENT GROUP",
"2004","ALTIRIS INC","https://en.wikipedia.org/wiki/Altiris"
"2005","WEINGARTEN REALTY INVESTMENT",
"2006","SONIC AUTOMOTIVE INC","https://en.wikipedia.org/wiki/Sonic_Automotive"
"2007","NEENAH PAPER",
"2008","LCA VISION","https://en.wikipedia.org/wiki/LCA-Vision"
"2009","STAGE STORES","https://en.wikipedia.org/wiki/Stage_Stores"
"2010","FREESCALE SEMICONDUCTOR","https://en.wikipedia.org/wiki/Freescale_Semiconductor"
"2011","CERADYNE INC","https://en.wikipedia.org/wiki/Ceradyne"
"2012","MTS SYSTEMS","https://en.wikipedia.org/wiki/MTS_Systems_Corporation"
"2013","TWENTY-FIRST CENTURY FOX","https://en.wikipedia.org/wiki/21st_Century_Fox"
"2014","ARCHSTONE INC",
"2015","ADVANCE AUTO PARTS","https://en.wikipedia.org/wiki/Advance_Auto_Parts"
"2016","CONNETICS CORP",
"2017","GEN-PROBE","https://en.wikipedia.org/wiki/Gen-Probe"
"2018","PENN VIRGINIA","https://en.wikipedia.org/wiki/Penn_Virginia"
"2019","MARTEK BIOSCIENCES","https://en.wikipedia.org/wiki/Martek_Biosciences_Corporation"
"2020","F5 NETWORKS","https://en.wikipedia.org/wiki/F5_Networks"
"2021","FINISH LINE INC","https://en.wikipedia.org/wiki/Finish_Line,_Inc."
"2022","INFINITY PROPERTY & CAS",
"2023","TEXAS REGL BCSHS INC",
"2024","NETGEAR INC","https://en.wikipedia.org/wiki/Netgear"
"2025","IPAYMENT INC",
"2026","REGENCY CENTERS","https://en.wikipedia.org/wiki/Regency_Centers"
"2027","DITECH NETWORKS",
"2028","HEALTHCARE SERVICES GROUP",
"2029","ANTEON INTERNATIONAL",
"2030","CENTRAL PACIFIC FINANCIAL CORP","https://en.wikipedia.org/wiki/Central_Pacific_Bank"
"2031","WORLD FUEL SERVICES","https://en.wikipedia.org/wiki/World_Fuel_Services"
"2032","OLD DOMINION FREIGHT","https://en.wikipedia.org/wiki/Old_Dominion_Freight_Line"
"2033","PEET'S COFFEE & TEA","https://en.wikipedia.org/wiki/Peet's_Coffee"
"2034","ACADIA REALTY TRUST",
"2035","ADV NEUROMODULATION SYS",
"2036","EASTGROUP PROPERTIES",
"2037","SS&C TECHNOLOGIES HOLDINGS","https://en.wikipedia.org/wiki/SS%26C_Technologies"
"2038","WESTERN DIGITAL","https://en.wikipedia.org/wiki/Western_Digital"
"2039","TREEHOUSE FOODS","https://en.wikipedia.org/wiki/TreeHouse_Foods"
